"FinancialYear","SIMDQuintile","AgeGroup","BirthweightForGestationalAge","Livebirths","Total","year"
"1997/98",1,"25-34","Appropriate",5571,7001,1997
"1997/98",1,"25-34","Large",701,7001,1997
"1997/98",1,"25-34","Small",720,7001,1997
"1997/98",1,"25-34","Unknown",9,7001,1997
"1997/98",1,"35 and over","Appropriate",794,1087,1997
"1997/98",1,"35 and over","Large",144,1087,1997
"1997/98",1,"35 and over","Small",139,1087,1997
"1997/98",1,"35 and over","Unknown",10,1087,1997
"1997/98",1,"Under 25","Appropriate",5003,6192,1997
"1997/98",1,"Under 25","Large",393,6192,1997
"1997/98",1,"Under 25","Small",785,6192,1997
"1997/98",1,"Under 25","Unknown",11,6192,1997
"1997/98",1,"Unknown","Appropriate",1,1,1997
"1997/98",2,"25-34","Appropriate",5184,6590,1997
"1997/98",2,"25-34","Large",768,6590,1997
"1997/98",2,"25-34","Small",631,6590,1997
"1997/98",2,"25-34","Unknown",7,6590,1997
"1997/98",2,"35 and over","Appropriate",892,1182,1997
"1997/98",2,"35 and over","Large",174,1182,1997
"1997/98",2,"35 and over","Small",115,1182,1997
"1997/98",2,"35 and over","Unknown",1,1182,1997
"1997/98",2,"Under 25","Appropriate",2935,3672,1997
"1997/98",2,"Under 25","Large",286,3672,1997
"1997/98",2,"Under 25","Small",447,3672,1997
"1997/98",2,"Under 25","Unknown",4,3672,1997
"1997/98",2,"Unknown","Appropriate",1,1,1997
"1997/98",3,"25-34","Appropriate",5329,6644,1997
"1997/98",3,"25-34","Large",850,6644,1997
"1997/98",3,"25-34","Small",449,6644,1997
"1997/98",3,"25-34","Unknown",16,6644,1997
"1997/98",3,"35 and over","Appropriate",1017,1307,1997
"1997/98",3,"35 and over","Large",200,1307,1997
"1997/98",3,"35 and over","Small",87,1307,1997
"1997/98",3,"35 and over","Unknown",3,1307,1997
"1997/98",3,"Under 25","Appropriate",2080,2490,1997
"1997/98",3,"Under 25","Large",167,2490,1997
"1997/98",3,"Under 25","Small",235,2490,1997
"1997/98",3,"Under 25","Unknown",8,2490,1997
"1997/98",3,"Unknown","Appropriate",1,1,1997
"1997/98",4,"25-34","Appropriate",5714,7071,1997
"1997/98",4,"25-34","Large",885,7071,1997
"1997/98",4,"25-34","Small",464,7071,1997
"1997/98",4,"25-34","Unknown",8,7071,1997
"1997/98",4,"35 and over","Appropriate",1319,1637,1997
"1997/98",4,"35 and over","Large",218,1637,1997
"1997/98",4,"35 and over","Small",100,1637,1997
"1997/98",4,"Under 25","Appropriate",1247,1523,1997
"1997/98",4,"Under 25","Large",115,1523,1997
"1997/98",4,"Under 25","Small",159,1523,1997
"1997/98",4,"Under 25","Unknown",2,1523,1997
"1997/98",4,"Unknown","Appropriate",1,2,1997
"1997/98",4,"Unknown","Large",1,2,1997
"1997/98",5,"25-34","Appropriate",5849,7245,1997
"1997/98",5,"25-34","Large",948,7245,1997
"1997/98",5,"25-34","Small",435,7245,1997
"1997/98",5,"25-34","Unknown",13,7245,1997
"1997/98",5,"35 and over","Appropriate",1688,2095,1997
"1997/98",5,"35 and over","Large",315,2095,1997
"1997/98",5,"35 and over","Small",91,2095,1997
"1997/98",5,"35 and over","Unknown",1,2095,1997
"1997/98",5,"Under 25","Appropriate",769,962,1997
"1997/98",5,"Under 25","Large",71,962,1997
"1997/98",5,"Under 25","Small",120,962,1997
"1997/98",5,"Under 25","Unknown",2,962,1997
"1997/98",NA,"25-34","Appropriate",109,135,1997
"1997/98",NA,"25-34","Large",19,135,1997
"1997/98",NA,"25-34","Small",7,135,1997
"1997/98",NA,"35 and over","Appropriate",33,42,1997
"1997/98",NA,"35 and over","Large",5,42,1997
"1997/98",NA,"35 and over","Small",4,42,1997
"1997/98",NA,"Under 25","Appropriate",41,51,1997
"1997/98",NA,"Under 25","Large",3,51,1997
"1997/98",NA,"Under 25","Small",6,51,1997
"1997/98",NA,"Under 25","Unknown",1,51,1997
"1998/99",1,"25-34","Appropriate",4973,6450,1998
"1998/99",1,"25-34","Large",705,6450,1998
"1998/99",1,"25-34","Small",758,6450,1998
"1998/99",1,"25-34","Unknown",14,6450,1998
"1998/99",1,"35 and over","Appropriate",813,1106,1998
"1998/99",1,"35 and over","Large",132,1106,1998
"1998/99",1,"35 and over","Small",158,1106,1998
"1998/99",1,"35 and over","Unknown",3,1106,1998
"1998/99",1,"Under 25","Appropriate",4737,5831,1998
"1998/99",1,"Under 25","Large",397,5831,1998
"1998/99",1,"Under 25","Small",692,5831,1998
"1998/99",1,"Under 25","Unknown",5,5831,1998
"1998/99",2,"25-34","Appropriate",4873,6075,1998
"1998/99",2,"25-34","Large",666,6075,1998
"1998/99",2,"25-34","Small",528,6075,1998
"1998/99",2,"25-34","Unknown",8,6075,1998
"1998/99",2,"35 and over","Appropriate",867,1152,1998
"1998/99",2,"35 and over","Large",163,1152,1998
"1998/99",2,"35 and over","Small",118,1152,1998
"1998/99",2,"35 and over","Unknown",4,1152,1998
"1998/99",2,"Under 25","Appropriate",2692,3370,1998
"1998/99",2,"Under 25","Large",272,3370,1998
"1998/99",2,"Under 25","Small",399,3370,1998
"1998/99",2,"Under 25","Unknown",7,3370,1998
"1998/99",2,"Unknown","Appropriate",1,1,1998
"1998/99",3,"25-34","Appropriate",4895,6147,1998
"1998/99",3,"25-34","Large",783,6147,1998
"1998/99",3,"25-34","Small",464,6147,1998
"1998/99",3,"25-34","Unknown",5,6147,1998
"1998/99",3,"35 and over","Appropriate",1177,1475,1998
"1998/99",3,"35 and over","Large",199,1475,1998
"1998/99",3,"35 and over","Small",97,1475,1998
"1998/99",3,"35 and over","Unknown",2,1475,1998
"1998/99",3,"Under 25","Appropriate",1956,2375,1998
"1998/99",3,"Under 25","Large",223,2375,1998
"1998/99",3,"Under 25","Small",190,2375,1998
