"date","date_label","sub_category","numerator","denominator","prop"
2017-01-01,"Jan-Mar 2017","spontaneous vaginal births",6685,12129,0.551158380740374
2017-01-01,"Jan-Mar 2017","assisted vaginal births",1483,12129,0.122268942204634
2017-01-01,"Jan-Mar 2017","planned caesarean births",1863,12129,0.1535988127628
2017-01-01,"Jan-Mar 2017","unplanned caesarean births",2098,12129,0.172973864292192
2017-04-01,"Apr-Jun 2017","spontaneous vaginal births",7274,12858,0.56571784103282
2017-04-01,"Apr-Jun 2017","assisted vaginal births",1574,12858,0.122414061284803
2017-04-01,"Apr-Jun 2017","planned caesarean births",1875,12858,0.145823611759216
2017-04-01,"Apr-Jun 2017","unplanned caesarean births",2135,12858,0.166044485923161
2017-07-01,"Jul-Sep 2017","spontaneous vaginal births",7489,13629,0.549490057964634
2017-07-01,"Jul-Sep 2017","assisted vaginal births",1646,13629,0.120771883483748
2017-07-01,"Jul-Sep 2017","planned caesarean births",2152,13629,0.157898598576565
2017-07-01,"Jul-Sep 2017","unplanned caesarean births",2342,13629,0.171839459975053
2017-10-01,"Oct-Dec 2017","spontaneous vaginal births",6982,12623,0.553117325516914
2017-10-01,"Oct-Dec 2017","assisted vaginal births",1564,12623,0.123900815970847
2017-10-01,"Oct-Dec 2017","planned caesarean births",2039,12623,0.161530539491405
2017-10-01,"Oct-Dec 2017","unplanned caesarean births",2038,12623,0.161451319020835
2018-01-01,"Jan-Mar 2018","spontaneous vaginal births",6507,11691,0.556581986143187
2018-01-01,"Jan-Mar 2018","assisted vaginal births",1369,11691,0.117098622872295
2018-01-01,"Jan-Mar 2018","planned caesarean births",1861,11691,0.159182276965187
2018-01-01,"Jan-Mar 2018","unplanned caesarean births",1954,11691,0.167137114019331
2018-04-01,"Apr-Jun 2018","spontaneous vaginal births",6686,12393,0.539498103768256
2018-04-01,"Apr-Jun 2018","assisted vaginal births",1573,12393,0.126926490760913
2018-04-01,"Apr-Jun 2018","planned caesarean births",1967,12393,0.158718631485516
2018-04-01,"Apr-Jun 2018","unplanned caesarean births",2167,12393,0.174856773985314
2018-07-01,"Jul-Sep 2018","spontaneous vaginal births",6997,12593,0.555626141507186
2018-07-01,"Jul-Sep 2018","assisted vaginal births",1502,12593,0.119272611768443
2018-07-01,"Jul-Sep 2018","planned caesarean births",2020,12593,0.160406575081394
2018-07-01,"Jul-Sep 2018","unplanned caesarean births",2074,12593,0.164694671642976
2018-10-01,"Oct-Dec 2018","spontaneous vaginal births",6608,12346,0.535234083913818
2018-10-01,"Oct-Dec 2018","assisted vaginal births",1622,12346,0.131378584156812
2018-10-01,"Oct-Dec 2018","planned caesarean births",1937,12346,0.15689292078406
2018-10-01,"Oct-Dec 2018","unplanned caesarean births",2179,12346,0.17649441114531
2019-01-01,"Jan-Mar 2019","spontaneous vaginal births",6127,11620,0.527280550774527
2019-01-01,"Jan-Mar 2019","assisted vaginal births",1432,11620,0.123235800344234
2019-01-01,"Jan-Mar 2019","planned caesarean births",1882,11620,0.161962134251291
2019-01-01,"Jan-Mar 2019","unplanned caesarean births",2179,11620,0.187521514629948
2019-04-01,"Apr-Jun 2019","spontaneous vaginal births",6327,11668,0.542252314021255
2019-04-01,"Apr-Jun 2019","assisted vaginal births",1410,11668,0.120843332190607
2019-04-01,"Apr-Jun 2019","planned caesarean births",1888,11668,0.161810078848132
2019-04-01,"Apr-Jun 2019","unplanned caesarean births",2043,11668,0.175094274940007
2019-07-01,"Jul-Sep 2019","spontaneous vaginal births",6730,12668,0.531259867382381
2019-07-01,"Jul-Sep 2019","assisted vaginal births",1668,12668,0.131670350489422
2019-07-01,"Jul-Sep 2019","planned caesarean births",2049,12668,0.161746131986107
2019-07-01,"Jul-Sep 2019","unplanned caesarean births",2221,12668,0.17532365014209
