financial_year,simd_quintile,age_group,total,year,time,appropriate,large,small,total_births,prop_small,prop_appropriate,prop_large,success_small,failure_small
1997/98,1,25-34,7001,1997,0,5571,701,720,6992,0.10297482837528604,0.7967677345537757,0.10025743707093822,720,6272
1997/98,1,35 and over,1087,1997,0,794,144,139,1077,0.12906220984215414,0.7372330547818013,0.13370473537604458,139,938
1997/98,1,Under 25,6192,1997,0,5003,393,785,6181,0.12700210321954375,0.8094159521113089,0.06358194466914739,785,5396
1997/98,1,Unknown,1,1997,0,1,0,0,1,0,1,0,0,1
1997/98,2,25-34,6590,1997,0,5184,768,631,6583,0.09585295457997874,0.7874829105271153,0.11666413489290597,631,5952
1997/98,2,35 and over,1182,1997,0,892,174,115,1181,0.09737510584250635,0.7552921253175275,0.14733276883996613,115,1066
1997/98,2,Under 25,3672,1997,0,2935,286,447,3668,0.12186477644492912,0.8001635768811342,0.07797164667393675,447,3221
1997/98,2,Unknown,1,1997,0,1,0,0,1,0,1,0,0,1
1997/98,3,25-34,6644,1997,0,5329,850,449,6628,0.06774290887145444,0.8040132770066385,0.12824381412190705,449,6179
1997/98,3,35 and over,1307,1997,0,1017,200,87,1304,0.06671779141104295,0.7799079754601227,0.15337423312883436,87,1217
1997/98,3,Under 25,2490,1997,0,2080,167,235,2482,0.09468170829975826,0.8380338436744561,0.06728444802578566,235,2247
1997/98,3,Unknown,1,1997,0,1,0,0,1,0,1,0,0,1
1997/98,4,25-34,7071,1997,0,5714,885,464,7063,0.06569446410873567,0.8090046722355939,0.1253008636556704,464,6599
1997/98,4,35 and over,1637,1997,0,1319,218,100,1637,0.06108735491753207,0.805742211362248,0.13317043372021992,100,1537
1997/98,4,Under 25,1523,1997,0,1247,115,159,1521,0.10453648915187377,0.8198553583168968,0.07560815253122946,159,1362
1997/98,4,Unknown,2,1997,0,1,1,0,2,0,0.5,0.5,0,2
1997/98,5,25-34,7245,1997,0,5849,948,435,7232,0.06014933628318584,0.808766592920354,0.13108407079646017,435,6797
1997/98,5,35 and over,2095,1997,0,1688,315,91,2094,0.04345749761222541,0.8061127029608405,0.1504297994269341,91,2003
1997/98,5,Under 25,962,1997,0,769,71,120,960,0.125,0.8010416666666667,0.07395833333333333,120,840
1998/99,1,25-34,6450,1998,1,4973,705,758,6436,0.11777501553760099,0.7726848974518334,0.10954008701056557,758,5678
1998/99,1,35 and over,1106,1998,1,813,132,158,1103,0.14324569356300998,0.7370806890299184,0.11967361740707162,158,945
1998/99,1,Under 25,5831,1998,1,4737,397,692,5826,0.11877789220734637,0.8130792996910402,0.06814280810161345,692,5134
1998/99,2,25-34,6075,1998,1,4873,666,528,6067,0.08702818526454591,0.8031976265040383,0.10977418823141585,528,5539
1998/99,2,35 and over,1152,1998,1,867,163,118,1148,0.10278745644599303,0.7552264808362369,0.14198606271777003,118,1030
1998/99,2,Under 25,3370,1998,1,2692,272,399,3363,0.11864406779661017,0.8004757656853999,0.08088016651798989,399,2964
1998/99,2,Unknown,1,1998,1,1,0,0,1,0,1,0,0,1
1998/99,3,25-34,6147,1998,1,4895,783,464,6142,0.0755454249430153,0.7969716704656463,0.12748290459133832,464,5678
1998/99,3,35 and over,1475,1998,1,1177,199,97,1473,0.0658520027155465,0.7990495587236931,0.13509843856076034,97,1376
1998/99,3,Under 25,2375,1998,1,1956,223,190,2369,0.08020261713803292,0.8256648374841705,0.09413254537779654,190,2179
1998/99,3,Unknown,1,1998,1,1,0,0,1,0,1,0,0,1
1998/99,4,25-34,6858,1998,1,5459,989,397,6845,0.05799853907962016,0.7975164353542732,0.14448502556610665,397,6448
1998/99,4,35 and over,1743,1998,1,1361,284,95,1740,0.05459770114942529,0.782183908045977,0.1632183908045977,95,1645
1998/99,4,Under 25,1652,1998,1,1344,147,158,1649,0.09581564584596726,0.8150394178289873,0.08914493632504548,158,1491
1998/99,5,25-34,6676,1998,1,5342,971,354,6667,0.05309734513274336,0.8012599370031498,0.1456427178641068,354,6313
