term,estimate,std.error,statistic,p.value,odds_ratio,or_lower,or_upper,model
(Intercept),-1.9304382579733557,0.018935374826006733,-101.94877448752698,7.400398249285918e-290,0.14508460006559493,0.13979872175154756,0.15057034079040574,LGA GLM
time,0.008668846589233982,0.001249022269743039,6.940506025579049,1.5686955919417806e-11,1.008706529851259,1.0062401520705284,1.0111789529277815,LGA GLM
simd_quintile1,-0.20474947006677852,0.025218374908313745,-8.119058853363256,5.7738755651313105e-15,0.8148514355170995,0.7755541406913524,0.8561399225750808,LGA GLM
simd_quintile2,-0.07006010606234471,0.025448902707774397,-2.752971586509387,0.006172730244095171,0.932337779069093,0.8869736931258546,0.9800220017981397,LGA GLM
simd_quintile4,0.07688839546334884,0.024874856964668995,3.0910085462021866,0.002133304766042886,1.0799215455231217,1.0285331652389373,1.1338774323471839,LGA GLM
simd_quintile5,0.08488991354690488,0.025104565621812916,3.3814531916515427,7.91494795024164e-4,1.0885972202949554,1.036329314978982,1.1435012895084782,LGA GLM
age_group35 and over,0.2035921706457306,0.019973972221020313,10.192873425120379,7.3648013672697215e-22,1.2257981350401692,1.1787365978383926,1.2747386232203541,LGA GLM
age_groupUnder 25,-0.46546356956134666,0.021694019146470973,-21.45584764255474,1.1523817256905632e-68,0.6278439883561263,0.6017074910115054,0.6551157823418061,LGA GLM
age_groupUnknown,0.8357605588454203,0.9976969095908527,0.8376898342685645,0.4027014415739951,2.3065676617770805,0.3263694085947229,16.301326773436482,LGA GLM
time:simd_quintile1,0.00230999987705429,0.0016496649052350236,1.4002843060574113,0.16219760995424606,1.0023126699823555,0.9990770828130817,1.0055587358469271,LGA GLM
time:simd_quintile2,-8.21559555580975e-6,0.0016690315380922555,-0.004922372866123536,0.9960749662246059,0.9999917844381921,0.9967258543331589,1.003268415880413,LGA GLM
time:simd_quintile4,-0.0020305181099827354,0.001636731725313248,-1.2405931152792447,0.21547784369254444,0.9979715419973171,0.9947751847860441,1.0011781695687463,LGA GLM
time:simd_quintile5,-0.004015576270804843,0.0016756778191467936,-2.3963892252565935,0.01701246041600792,0.9959924753746509,0.9927266747932025,0.9992690195511981,LGA GLM
time:age_group35 and over,-0.0034300027111779994,0.00127616681423503,-2.6877385251817874,0.007491839136820699,0.9965758730282674,0.9940862657056629,0.9990717153677258,LGA GLM
time:age_groupUnder 25,0.006518845472808317,0.001511357809532219,4.313237693743726,2.025770005285215e-5,1.0065401393913989,1.0035629163163067,1.00952619485467,LGA GLM
time:age_groupUnknown,0.0026110972662975536,0.11407518426516765,0.022889266259943624,0.9817499312768609,1.0026145091497047,0.8017357101486032,1.2538244726197627,LGA GLM
